Program Name,Initial states,Number of iterations,Total number of phases ,Total number of splits,Total number of prune,Final DistEstimate_value,Total time (seconds) ,Height of final tree,Final simplified candidate
BigGeo1,(z == 0 && x == 16),16,11,87,0,0.005,81.98054909706116,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4), (512,5), (1024,6)}"
BigGeo1,(z == 0 && x == 16),160,14,78,0,0.0483333333333333,215.76131129264832,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (512,5)}"
BigGeo1,(z == 0 && x == 16),112,11,69,0,0.03,115.7720091342926,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),96,10,65,0,0.0366666666666666,101.56414031982422,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),80,12,76,0,0.0266666666666666,110.97817659378052,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),144,14,71,0,0.045,177.00011229515076,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (512,5)}"
BigGeo1,(z == 0 && x == 16),128,15,71,0,0.0283333333333333,169.6335985660553,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),64,11,70,0,0.03,92.5595805644989,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),48,10,71,0,0.0116666666666667,78.50360989570618,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4), (512,5)}"
BigGeo1,(z == 0 && x == 16),32,11,67,0,0.0466666666666666,76.0355772972107,57,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (512,5)}"
Sum0,(x < 8 && n < k),32,6,30,0,0.0,44.96438384056091,48,"n = 0, x in [0, 512)"
Sum0,(x == 64 && n < k),80,5,12,0,0.0016666666666667,67.63685417175293,45,"['n mod 268435456 in {0}, x in [0, 2048)']"
Sum0,(x < 8 && n < k),96,5,25,0,0.0,87.37235903739929,46,"n = 0, x in [0, 3072)"
Sum0,(x == 64 && n < k),16,6,41,0,0.0166666666666667,41.38238883018494,53,"n = 0, x in {64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170, 172, 174}"
Sum0,(x < 8 && n < k),80,6,30,0,0.0016666666666667,81.16350841522217,46,"n = 0, x in [0, 2048)"
Sum0,(x == 64 && n < k),160,4,10,0,0.0016666666666667,199.17445182800293,43,"['n mod 268435456 in {0}, x in [0, 8192)']"
Sum0,(x < 8 && n < k),48,5,16,0,0.0,42.06197452545166,46,"['n mod 268435456 in {0}, x in [0, 1024)']"
Sum0,(x == 64 && n < k),128,4,10,0,0.0,165.44251608848572,43,"['n mod 268435456 in {0}, x in [0, 8192)']"
Sum0,(x < 8 && n < k),144,4,10,0,0.0,152.68115639686584,43,"['n mod 268435456 in {0}, x in [0, 8192)']"
Sum0,(x == 64 && n < k),32,7,36,0,0.0,53.894262075424194,50,"n = 0, x in [64, 512)"
Sum0,(x == 64 && n < k),64,4,12,0,0.0,44.10762929916382,45,"['n mod 268435456 in {0}, x in [0, 2048)']"
Sum0,(x == 64 && n < k),144,5,20,0,0.0,192.03717350959775,44,"n = 0, x in [0, 8192)"
Sum0,(x == 64 && n < k),112,5,12,0,0.0,94.8255705833435,44,"['n mod 268435456 in {0}, x in [0, 4096)']"
Sum0,(x < 8 && n < k),64,4,10,0,0.0,44.07791018486023,45,"['n mod 268435456 in {0}, x in [0, 2048)']"
Sum0,(x == 64 && n < k),48,6,16,0,0.0,51.110355854034424,49,"n = 0, x in [128, 1024)"
Sum0,(x < 8 && n < k),128,5,24,0,0.0,204.4570279121399,44,"n = 0, x in [0, 8192)"
Sum0,(x < 8 && n < k),160,5,20,0,0.0,277.1892306804657,44,"n = 0, x in [0, 8192)"
Sum0,(x == 64 && n < k),96,5,13,0,0.0,92.2301585674286,44,"['n mod 268435456 in {0}, x in [0, 4096)']"
Sum0,(x < 8 && n < k),16,5,28,0,0.0,32.86123704910278,50,"n = 0, x in [0, 128)"
Sum0,(x < 8 && n < k),112,4,11,0,0.0016666666666667,76.52851939201355,44,"['n mod 268435456 in {0}, x in [0, 4096)']"
GeoAr,(x == 0 && y == 0),16,11,65,0,0.0266666666666666,68.33853650093079,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),112,12,62,0,0.0283333333333333,196.3035409450531,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),96,16,72,0,0.0133333333333333,191.3420882225037,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (15,6)}"
GeoAr,(x == 0 && y == 0),80,11,68,0,0.0316666666666666,127.78580331802368,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),144,11,66,0,0.025,401.6195485591888,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),128,11,62,0,0.0366666666666666,271.1717915534973,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),64,10,63,0,0.03,88.89315629005432,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),160,11,68,0,0.02,603.9480376243591,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),48,10,63,0,0.0416666666666666,81.07150387763977,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),32,13,68,0,0.0183333333333333,87.15462493896484,57,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (15,6)}"
BigGeo0,(z21),64,1,0,0,0.0,4.990975618362427,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z9),48,1,0,0,0.0,5.380644798278809,6,['No satisfying assignments found.']
BigGeo0,(z15),32,1,0,0,0.0,4.649833917617798,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z15),144,1,0,0,0.0,5.80532431602478,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z9),160,1,0,0,0.0,9.73998999595642,4,['No satisfying assignments found.']
BigGeo0,(z9),144,1,0,0,0.0,8.755048751831055,4,['No satisfying assignments found.']
BigGeo0,(z21),32,1,0,0,0.0,4.745409727096558,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z15),48,1,0,0,0.0,4.761033296585083,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z15),64,1,0,0,0.0,4.942518472671509,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z9),16,1,0,0,0.0,4.727417707443237,8,['No satisfying assignments found.']
BigGeo0,(z15),112,1,0,0,0.0,5.357810974121094,2,"['flip = 1, z has too many values to summarize']"
BigGeo0,(z21),96,1,0,0,0.0,5.26949667930603,2,"['flip = 1, z has too many values to summarize']"
